"id;""user_id"";""created_at"";""tweet_text"";""hashtag_entities"";""url_entities"";""favorites_count"";""retweet_count"";""quoted_status_id"";""in_reply_to_status_id"""
"610182991122403328;33563161;""2015-06-14 20:32:16"";""Con mi hijo", el Senador Serrano @senatorserrano," y nuestro amigo pedrojulio en la... https://t.co/YEjlbWnptW"";""{}"";""{https://t.co/YEjlbWnptW}"";1;1;;"
"588367744371949568;17513304;""2015-04-15 15:46:16"";""Capitol steps #selfie with visiting students from Minnesota's St. Paul's Lutheran School http://t.co/qFKEZYyQTj"";""{selfie}"";""{}"";7;1;;"
"834157597779451904;933261786;""2017-02-21 21:47:23"";""Memos show Trump administration greatly expanding number of people targeted for deportation https://t.co/Oyq5rvUfJX"";""{}"";""{http://fb.me/109EWlQ06}"";0;0;;"
"557651216839499776;2932617195;""2015-01-20 21:29:45"";""Watch my video on my expectations for the State of the Union Address - https://t.co/Q33WmvQGkR #mepolitics"";""{mepolitics}"";""{https://t.co/Q33WmvQGkR}"";1;3;;"
"819008948166496256;131018989;""2017-01-11 02:32:04"";""RT @DaniellaMonet: The most well spoken president I've witnessed in my lifetime yet. #ObamaFarewell"";""{ObamaFarewell}"";""{}"";0;261;;"
"223066921795461120;225921757;""2012-07-11 14:51:13"";""Well", @NancyPelosi, we read it. We know what's in it. We don't like it," and now we're voting to repeal it. http://t.co/WhrXnAfb #fullrepeal"";""{fullrepeal}"";""{http://t.co/WhrXnAfb}"";1;28;;"
"264740610760663041;111635980;""2012-11-03 14:47:34"";""Dry ice distro btwn 10-4 in Queens: Baisley Pond Park-155 st &amp; Baisley Blvd &amp; Kissena Park Velodrome parking lot near Booth Memorial Ave"";""{}"";""{}"";1;1;;"
"498997560300683265;90484508;""2014-08-12 01:01:03"";""We're giving people a second chance by banning the box    https://t.co/6RBD7V7Y9d #WeDidIt #BipartisanNJ"";""{WeDidIt","BipartisanNJ}"";""{https://t.co/6RBD7V7Y9d}"";14;18;;"
"606543945170960384;7713202;""2015-06-04 19:32:00"";""RT @HouseGOP: Democrats be like ... http://t.co/kkS6dRoCLG"";""{}"";""{}"";0;74;;"
"687096492155400192;1260172386;""2016-01-13 02:19:04"";""""""Will we face the future With confidence in who we are?"," -@POTUS #SOTU16"";""{SOTU16}"";""{}"";1;2;;"
"539519421879189504;476256944;""2014-12-01 20:40:28"";"".@60Minutes report says that 97 percent of companies have been hacked. We must pass an information-sharing bill. http://t.co/jZlp7bp9k6"";""{}"";""{http://t.co/jZlp7bp9k6}"";13;15;;"
"631984513556574209;7713202;""2015-08-14 00:23:44"";""Thanks"," Steve. The whole family is feeling so blessed. https://t.co/bRrMUYe7Iw"";""{}"";""{https://t.co/bRrMUYe7Iw}"";18;3;631939155665154048;"
"672871751986970624;462143773;""2015-12-04 20:15:01"";""RT @projo: Cicilline to host campaign finance reform discussion Saturday https://t.co/XsMtBMJnpF"";""{}"";""{https://t.co/XsMtBMJnpF}"";0;4;;"
"385462455339470848;168502762;""2013-10-02 17:53:05"";""RT @HouseDemocrats: Thanks to the #GOPShutdown"," 100s of children are being denied access to life saving research trials for diseases like c..."";""{GOPShutdown}"";""{}"";0;37;;"
"796389466256670720;20508720;""2016-11-09 16:30:19"";""@getovahit @JStein_Vox @ryanlcooper How many polls have to show Trump voters supporting deportations/Muslim ban before you believe them?"";""{}"";""{}"";4;1;;796389286622871552"
"801635498405994496;131018989;""2016-11-24 03:56:11"";""RT @mvitti417: Any criticism or jokes about him on Twitter #KeepsTrumpUpAtNight."";""{KeepsTrumpUpAtNight}"";""{}"";0;1;;"
"753234852984549376;18166778;""2016-07-13 14:29:18"";""Christian Fire Chief Shares How Atlanta Officials Told Him to 'Check His Beliefs'  https://t.co/wuzUypujX2"";""{}"";""{https://t.co/wuzUypujX2}"";33;42;;"
"715946619091492864;13491312;""2016-04-01 16:59:10"";""Kudos to New York for showing they can #LeadOnLeave! This is common sense policy we could use in OH"," &amp; everywhere! https://t.co/Nqc6GhI6xI"";""{LeadOnLeave}"";""{https://t.co/Nqc6GhI6xI}"";54;22;;"
"816380571140009985;2862555526;""2017-01-03 20:27:50"";""New technology is helping keep Illinois' roadways safe. Find out more about how @IDOT_Illinois is utilizing drones. https://t.co/ozxMBsAbb1"";""{}"";""{https://t.co/ozxMBsAbb1}"";10;5;;"
"4315236005;33977070;""2009-09-23 13:32:37"";""Being interviewed on WCKF in Clay County.  Tune in at 100.7 FM."";""{}"";""{}"";0;0;;"
"246338576453861376;229197216;""2012-09-13 20:04:28"";""thanks for stopping by! RT @Mayor_Smith: Good to see @RepDavid in DC."";""{}"";""{}"";0;0;;"
"270702437805985793;263815367;""2012-11-20 01:37:45"";""If you would like to receive my office newsletter please sign up at http://t.co/CebyVWxu"";""{}"";""{http://t.co/CebyVWxu}"";0;1;;"
"694879245630377984;15600527;""2016-02-03 13:44:57"";""Speaking about the #ValueOfData at @DMA_USA this morning. https://t.co/IL9CPFisvZ"";""{ValueOfData}"";""{}"";3;3;;"
"707288293323354112;233761277;""2016-03-08 19:34:04"";""Once-Catholic Georgetown invites @PPFA's Cecile Richards to spread her violent message. #CatholicInNameOnly #prolife"";""{CatholicInNameOnly","prolife}"";""{}"";4;5;;"
"395211771377508354;303861808;""2013-10-29 15:33:23"";""http://t.co/TgHfL2Gq2R's problems are unacceptable. So is wasting more time and money to sabotage #ACA that's providing millions w/insurance"";""{ACA}"";""{http://t.co/TgHfL2Gq2R}"";3;8;;"
